Metric,@5 mean,@5 std,@10 mean,@10 std
precision,0.0704,0.1340140273219118,0.0606,0.09698686975983721
recall,0.009987185344621563,0.024151724429665504,0.015683311162633228,0.030479772615232766
ndcg,0.0743179428248035,0.14731220463307126,0.06619870917434556,0.11302375082923913
hit_rate,0.266,0.4423067606775687,0.39,0.48823841871263657
